model,pearson,spearman,mse,rmse,dataset
GeneNetPred (SAGE+Performer),0.8812,0.6684,0.0414,0.2035,ours (same split)
GeneNetPred (GCN+Performer),0.8762,0.6212,0.0428,0.207,ours (same split)
GeneNetPred (SAGE),0.874,0.6307,0.0455,0.2132,ours (same split)
GeneNetPred (GCN),0.8755,0.6431,0.043,0.2075,ours (same split)
MLP Baseline,0.1371,0.1303,0.1876,0.4331,ours (same split)
DepGPS SAGE+Performer [noCDNS],0.8758,0.6345,0.043,0.2073,ours (same split)
DepGPS SAGE+Performer [+cdNS],0.8699,0.5955,0.0453,0.2129,ours (same split)
DepGPS GIN+Performer [noCDNS],0.8744,0.6354,0.0436,0.2088,ours (same split)
DepGPS GIN+Performer [+cdNS],0.8687,0.5971,0.047,0.2168,ours (same split)
DepGPS SAGE-only [noCDNS],0.8767,0.6451,0.0434,0.2084,ours (same split)
DepGPS SAGE-only [+cdNS],0.8683,0.5718,0.0453,0.2127,ours (same split)
DepGPS Performer-only [noCDNS],0.8764,0.6446,0.0427,0.2067,ours (same split)
DepGPS Performer-only [+cdNS],0.8782,0.6557,0.0423,0.2057,ours (same split)
DeepDEP (no cdNS),0.8563,0.4281,0.0495,0.2225,ours (same split)
DeepDEP (+cdNS),0.8539,0.416,0.0505,0.2246,ours (same split)
